Hybridization.REF,labels,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
TCGA-W5-AA31-01A-11R-A41I-07,1,3564.9357,18138.2949,1547.7182,86440.0629,4414.6996,623.5305,3870.7766
TCGA-W5-AA33-01A-11R-A41I-07,1,2256.2886,21010.4414,651.1628,30372.5676,2040.8163,204.0816,1541.5282
TCGA-W5-AA34-01A-11R-A41I-07,1,13809.5483,17.9671,9.2402,22522.0739,3.0801,1.0267,1483.0595
TCGA-W5-AA36-01A-11R-A41I-07,1,7944.7005,5.7604,0,1923.3871,1.1521,1.1521,192.3963
TCGA-W5-AA38-01A-11R-A41I-07,1,16960.4299,24.426,0.4885,1555.447,2.4426,0,18644.8461
TCGA-W5-AA39-01A-11R-A41I-07,1,8682.1886,42614.6682,6498.2538,72430.7334,19.7905,208.3818,14799.7672
TCGA-W6-AA0S-01A-11R-A41I-07,1,8981.1589,9.4798,0.948,28986.3728,0.474,0,319.4691
TCGA-WD-A7RX-01A-12R-A41I-07,1,10870.7359,111992.6807,1565.8084,74424.7811,3926.2841,902.3657,2928.7675
TCGA-YR-A95A-01A-12R-A41I-07,1,7648.2122,26000,1167.2434,41357.5548,2494.233,396.1938,2657.4394
TCGA-ZD-A8I3-01A-11R-A41I-07,1,13831.5534,6.3107,0,19927.6699,0,6.7961,173.7864
TCGA-ZH-A8Y1-01A-11R-A41I-07,1,598.7452,49.4738,2.2488,3047.135,2.811,0,237.2493
TCGA-ZH-A8Y2-01A-11R-A41I-07,1,9871.3144,266.8064,0,40135.2378,5.766,4.1934,918.3593
TCGA-ZH-A8Y4-01A-11R-A41I-07,1,11710.2713,6539.2442,280.5233,18920.0581,872.093,105.1357,1232.0736
TCGA-ZH-A8Y5-01A-11R-A41I-07,1,2560.7949,4.8864,0.3258,5401.4171,0.3258,9.7728,121.5083
TCGA-ZH-A8Y6-01A-11R-A41I-07,1,84.0604,97.5701,47.6593,4549.3949,3.7527,1.1258,4.5032
TCGA-ZH-A8Y8-01A-51R-A41I-07,1,5615.2263,8971.1934,856.3786,26718.5185,1951.0288,181.4815,1462.1399
TCGA-ZU-A8S4-01A-11R-A41I-07,1,3699.3643,174.9969,15.9541,22687.7727,77.7764,32.9054,4019.4441
TCGA-2H-A9GF,0,0,0.6521,0,0,0,0,0.9782
TCGA-2H-A9GG,0,0,90.9853,2.0964,862.4738,2.935,1.2579,1.2579
TCGA-2H-A9GH,0,0,11.6448,1.0917,0.3639,0.3639,0,0.7278
TCGA-2H-A9GI,0,0,2.4214,2.0178,0.4036,4.0356,0,0
TCGA-2H-A9GJ,0,0.6098,166.7683,0.9146,219.8171,0,0,9.4512
TCGA-2H-A9GK,0,0,15.6267,1.3022,0,0.4341,0.4341,0.8681
TCGA-2H-A9GL,0,0,11.2875,1.4109,0,2.8219,0,0.3527
TCGA-2H-A9GM,0,0,50.7968,1.66,3.3201,0.332,0,2.988
