Cancer,labels,Hybridization.REF,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
PACA-CA,0,PCSI_0284_Pa_P_526,0,0.325488,0.0702299,0.00726014,0.821674,0,0
PACA-CA,0,PCSI_0456_Pa_P_526,0.0893902,0,0,0.106128,0,0,0
PACA-CA,0,PCSI_0171_Pa_P_526,0.230461,0.0511,0.0139182,0.108501,0.0585711,0,0
PACA-CA,0,PCSI_0460_Pa_P_526,8.75725,0,0.0442624,7.11903,0.739005,0,1.59757
PACA-CA,0,PCSI_0280_Pa_P,0.052171,0.103484,0,0.819677,0.0461578,0,0
PACA-CA,0,PCSI_0334_Pa_P_526,12.4886,0.218568,0,7.04871,0.0141939,0,0.36439
PACA-CA,0,PCSI_0451_Pa_P_526,0.0259573,0.130153,0,0.0278197,0.0505409,0,0.0215534
PACA-CA,0,PCSI_0210_Pa_P_526,0,0.470708,0,0.301783,0,0,0.0389849
PACA-CA,0,PCSI_0492_Pa_P_526,5.65449,0.290065,0.365424,0.358905,0.0649847,0,0.0538447
PACA-CA,0,PCSI_0329_Pa_P_526,0.0552851,0,0.0923669,0,0.206821,0.0240774,0.275651
PACA-CA,0,PCSI_0473_Pa_P_526,20.5524,0.233934,0.478137,5.04004,0.0871727,0,0
PACA-CA,0,PCSI_0235_Pa_P_526,1.91106,0.0817503,0.0397745,1.68726,0.491502,0,0
PACA-CA,0,PCSI_0302_Pa_P,0,0.12687,0.396859,0,0,0,0
PACA-CA,0,PCSI_0468_Pa_P_526,0,0.221045,0.404329,0.435085,0.010746,0,0.0153316
PACA-CA,0,PCSI_0463_Pa_P_526,6.05116,0.146756,0.0985094,2.46146,0.571791,0,0
PACA-CA,0,PCSI_0309_Pa_P,0.77805,0.0890272,0.442759,0.904813,0.114801,0,0.262707
PACA-CA,0,PCSI_0297_Pa_P_526,8.69542,0,0.0329609,6.26171,0.0250557,0,0.118963
PACA-CA,0,PCSI_0263_Pa_P_526,0,0.102145,0.17199,0,0.0512052,0,0
PACA-CA,0,PCSI_0290_Pa_P_526,0,5.43406,0,8.18659,0,0,0.0390547
PACA-CA,0,PCSI_0217_Pa_P_526,0.0232411,0.505859,0.473417,1.90097,0.248454,0,0.133462
PACA-CA,0,PCSI_0286_Pa_P,28.867,0.040291,0.027641,7.07535,0,0,0.067412
PACA-CA,0,PCSI_0294_Pa_P_526,2.77321,0.358774,0.0661522,2.18956,0,0,0.250666
PACA-CA,0,PCSI_0233_Pa_P_526,1.38504,0.0293801,0.0160079,3.32106,0,0,0
PACA-CA,0,PCSI_0457_Pa_P_526,15.8194,0.156996,0.499699,2.31723,0.00932108,0,0
PACA-CA,0,PCSI_0227_Pa_P_526,0.182467,1.70631,0.178853,0.0647881,0,0,0
PACA-CA,0,PCSI_0465_Pa_P_526,0.0746442,0.0744587,0,0.132533,0.231736,0,0
PACA-CA,0,PCSI_0330_Pa_P_526,0,0,0.729564,0.191843,0,0,0.401418
PACA-CA,0,PCSI_0392_Pa_P_526,0.106599,0.13302,0,0.159757,0,0,0.0656052
PACA-CA,0,PCSI_0337_Pa_P_526,45.0257,0.139864,0.426904,7.27407,0,0,0.0463732
PACA-CA,0,PCSI_0142_Pa_P_526,0,0.509093,0.240917,0.0266762,0,0,0.383864
PACA-CA,0,PCSI_0453_Pa_P_526,3.21815,0,0.187907,1.47708,0,0,0
PACA-CA,0,PCSI_0226_Pa_P_526,0,0,0,0.291612,0,0,0
PACA-CA,0,PCSI_0506_Pa_P_526,228.811,0,0.351938,24.9448,0,0,0.063758
PACA-CA,0,PCSI_0326_Pa_P_526,5.61854,0,0.152243,2.16881,0,0,0
PACA-CA,0,PCSI_0162_Pa_P_526,0.0301868,0.0301055,0.254344,0,0,0,0
PACA-CA,0,PCSI_0228_Pa_P_526,0,0,0.370652,0.458782,0.0719816,0,0.01333
PACA-CA,0,PCSI_0357_Pa_P_526,0.825919,4.48599,0.525117,1.09286,0.18879,0,0
PACA-CA,0,PCSI_0341_Pa_P_526,0.946354,0.0510428,0,0.734622,0.0515024,0,0.137162
PACA-CA,0,PCSI_0283_Pa_P,0.210563,0,0.32211,5.74121,0,0,1.74115
PACA-CA,0,PCSI_0287_Pa_P_526,0,0.0486839,0.644963,0,0,0,0
PACA-CA,0,PCSI_0345_Pa_P_526,19.4441,0,0.898012,1.89395,0.387728,0,0
PACA-CA,0,PCSI_0285_Pa_P,40.6891,0.658255,0.240917,27.4269,0,0,0.758578
PACA-CA,0,PCSI_0310_Pa_P_526,0.481769,0,0.250878,0.124788,0,0,0.0134317
PACA-CA,0,PCSI_0354_Pa_P_526,7.01317,0.311217,0,4.04238,0.063287,0,0.0511884
PACA-CA,0,PCSI_0469_Pa_P_526,1.31056,0,0,2.19099,0.551853,0,0
PACA-CA,0,PCSI_0450_Pa_P_526,12.1139,6.41018,0,2.41287,0.198879,0,0
PACA-CA,0,PCSI_0508_Pa_P_526,176.487,0.0393733,0,99.5103,0,0,0.0163888
PACA-CA,0,PCSI_0458_Pa_P_526,2.04778,0,0,1.9438,0,0,0
PACA-CA,0,PCSI_0173_Pa_P_526,0,0,0,0.00913321,0,0,0
PACA-CA,0,PCSI_0261_Pa_P,0.263979,0.163647,0.0182063,0.128065,0,0,0
