Hybridization.REF,labels,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
TCGA.FV.A3I1.11A.11R.A22L.07,0,38515.7407,553856.4815,22581.4815,803733.3333,51373.1481,2080.5556,20252.7778
TCGA.FV.A3R2.11A.11R.A22L.07,0,42169.67,617890.2612,31045.1508,469201.8627,28238.1049,698.9269,11451.7109
TCGA.G3.A3CH.11A.11R.A22L.07,0,39825.3546,575208.3333,17807.6241,551887.4113,26308.5106,15787.234,10121.4539
TCGA.2V.A95S.01A.11R.A37K.07,1,1177.3905,285011.7674,395.5042,202874.0837,98.3874,354.4551,974.7516
TCGA.2Y.A9GS.01A.12R.A38B.07,1,10276.4909,84196.6486,26051.7496,86573.6816,3544.6033,1009.3642,10784.1301
TCGA.2Y.A9GT.01A.11R.A38B.07,1,45668.6842,197555.705,17322.5734,502987.6709,43427.0343,10488.2313,25509.0787
TCGA.2Y.A9GU.01A.11R.A38B.07,1,45330.4861,309749.4244,8787.6614,379639.4848,4.1707,223.5494,3480.0307
TCGA.2Y.A9GV.01A.11R.A38B.07,1,28766.4975,266806.2606,17051.6074,466648.9002,35840.1015,6896.7851,32119.2893
TCGA.2Y.A9GW.01A.11R.A38B.07,1,16665.1341,68424.5211,15110.3448,700611.4943,25045.977,5167.0498,62030.6513
TCGA.2Y.A9GX.01A.11R.A38B.07,1,16507.2727,130309.697,19504.2424,336507.8788,17566.6667,4781.8182,26831.5152
TCGA.2Y.A9GY.01A.11R.A38B.07,1,7201.3926,39207.2844,9569.8982,57938.4039,457.9539,938.4039,1230.316
TCGA.2Y.A9GZ.01A.11R.A39D.07,1,15503.7543,212168.6007,16896.9283,255823.8908,8240.273,284.6416,11735.8362
TCGA.2Y.A9H0.01A.11R.A38B.07,1,33181.7329,413798.5612,10561.7767,79976.8533,8262.1207,402.2521,8833.2812
TCGA.2Y.A9H1.01A.11R.A38B.07,1,47609.1356,1169084.707,9854.8714,884216.2475,18164.7875,3975.7155,28357.3287
TCGA.2Y.A9H2.01A.12R.A38B.07,1,15321.05,17890.9642,1418.9803,43164.5634,3535.5881,840.9894,2789.5003
TCGA.2Y.A9H3.01A.11R.A38B.07,1,11485.1117,651177.4194,3426.799,542527.2953,21.0918,29.7767,22383.3747
TCGA.2Y.A9H4.01A.11R.A38B.07,1,10972.8822,352213.103,22893.2085,360234.2213,4530.8375,129.5896,10802.0158
TCGA.2Y.A9H5.01A.11R.A38B.07,1,9737.2035,620038.7016,4416.9788,344463.7953,483.1461,1244.6941,9640.4494
TCGA.2Y.A9H6.01A.11R.A39D.07,1,12120.3396,254426.0244,6431.1554,686406.0539,58.3241,638.612,17585.0867
TCGA.2Y.A9H7.01A.11R.A39D.07,1,109.2053,839959.3196,4666.0949,312268.8794,731.275,1673.5277,24344.1967
TCGA.2Y.A9H8.01A.11R.A39D.07,1,26282.2763,337774.8515,89.3566,163200.8492,8.0623,63.1543,17151.7736
TCGA.2Y.A9H9.01A.21R.A39D.07,1,5591.3427,200670.3688,41554.3215,660029.617,10450.2349,686.8859,17365.2285
TCGA.2Y.A9HA.01A.11R.A39D.07,1,12625.6567,154255.6918,5730.7356,172952.2767,36.7776,243.8704,7478.9842
TCGA.2Y.A9HB.01A.11R.A39D.07,1,23420.212,195570.6822,22068.3684,433115.9875,11138.976,6130.4672,12410.2105
TCGA.3K.AAZ8.01A.12R.A39D.07,1,16962.3679,201925.8633,11798.1677,408930.2326,445.3841,2747.2868,6843.6927
TCGA.4R.AA8I.01A.11R.A38B.07,1,4918.956,124892.1703,13195.0549,154102.3352,4655.9066,2689.5604,10199.1758
TCGA.5C.A9VG.01A.11R.A37K.07,1,4337.5551,50196.0352,4090.859,310067.1806,56.7181,161.8943,1871.696
TCGA.5C.A9VH.01A.11R.A37K.07,1,6998.6197,320483.0918,4153.8992,296387.8537,587.3016,2576.9496,13799.1718
TCGA.5C.AAPD.01A.21R.A39D.07,1,10029.8165,79144.4954,3733.1804,151041.2844,114.6789,380.7339,12818.8073
TCGA.5R.AA1C.01A.11R.A41C.07,1,65635.6122,1293.9023,1776.2378,113707.9971,14780.877,10618.2873,10423.7415
TCGA.5R.AA1D.01A.11R.A38B.07,1,23127.1596,55536.973,50114.7201,945383.5522,15163.0961,1737.3877,30305.4596
TCGA.5R.AAAM.01A.12R.A41C.07,1,18740.4871,348783.105,16628.6149,416921.6134,33403.3486,2103.5008,34694.0639
TCGA.BC.4072.01B.11R.A155.07,1,22222.104,74570.1614,56.7678,191129.6718,1619.6558,704.9849,13700.5499
TCGA.BC.4073.01B.02R.A131.07,1,888.3806,26457.914,4147.301,627631.29,1247.484,3866.8801,18668.344
TCGA.BC.A10Q.01A.11R.A131.07,1,6360.6471,100.0044,17.5123,5455.9992,6.4519,6.9127,104.152
TCGA.BC.A10R.01A.11R.A131.07,1,19371.6705,13982.2429,8512.4983,340773.1184,34.4215,4468.242,27151.482
TCGA.BC.A10S.01A.22R.A131.07,1,19130.905,264645.3443,13908.9357,678939.1007,25175.2988,4342.0603,32342.0603
TCGA.BC.A10T.01A.11R.A131.07,1,2867.7647,135484.7059,23925.6471,105216,723.2941,526.5882,3050.8235
TCGA.BC.A10U.01A.11R.A131.07,1,21821.5613,33477.2305,6658.9219,282535.7807,4911.2454,2489.777,18686.3383
TCGA.BC.A10W.01A.11R.A131.07,1,25.1792,46558.8776,893.12,276362.4986,981.6174,501.3617,34439.1803
TCGA.BC.A10X.01A.11R.A131.07,1,33209.1369,386004.6505,12291.6154,551930.5157,26691.2871,8820.134,20616.6051
TCGA.BC.A10Y.01A.11R.A131.07,1,4440.3538,161122.1611,26155.869,575683.0026,1271.3364,100.4064,13237.8676
TCGA.BC.A10Z.01A.11R.A131.07,1,24376.1458,147497.8971,13703.8715,164119.918,484.8485,1095.2227,2513.9653
TCGA.BC.A110.01A.11R.A131.07,1,44116,460944,10486.6667,824200,35629.3333,641.3333,40673.3333
TCGA.BC.A112.01A.11R.A131.07,1,10183.0835,653.1049,8598.5011,67821.1991,59.4218,1323.3405,1217.3448
TCGA.BC.A216.01A.11R.A155.07,1,2408.5583,149802.3434,3036.6786,302471.2175,2799.7962,4081.5079,8231.7881
TCGA.BC.A217.01A.11R.A155.07,1,17822.4941,17724.6286,10565.9718,181051.0548,1528.8978,104.3565,2388.7155
TCGA.BC.A3KF.01A.11R.A213.07,1,9337.904,88272.6738,11339.4711,122119.8825,451.3222,496.3761,7791.5769
TCGA.BC.A3KG.01A.11R.A213.07,1,953.8894,1142.2245,6310.0121,53430.8105,135.1442,263.5903,1715.1098
TCGA.BC.A5W4.01A.11R.A28V.07,1,1202.1049,103337.9138,4524.8888,149069.3013,673.1788,19.0679,1309.0508
TCGA.BC.A69H.01A.11R.A311.07,1,16165.6934,206158.3942,1308.7591,93397.8102,3106.5693,692.7007,17794.8905
TCGA.BC.A69I.01A.11R.A311.07,1,90434.8815,254995.2607,417.8199,751951.4692,6393.9336,2127.7725,28330.6161
TCGA.BC.A8YO.01A.11R.A37K.07,1,1968.0197,43289.7238,8055.0151,82918.931,483.9539,106.8993,7539.7518
TCGA.BD.A2L6.01A.11R.A213.07,1,2796.9388,1259935.714,13297.449,168511.7347,665.8163,1912.2449,6308.6735
TCGA.BD.A3EP.01A.11R.A22L.07,1,22355.2516,109361.3887,5517.0963,358624.5836,15098.0186,2212.169,47367.3505
TCGA.BD.A3ER.01A.11R.A213.07,1,35488.7942,112866.0863,15146.5086,614153.7322,21478.7924,6647.1569,65233.5618
TCGA.BW.A5NO.01A.11R.A27V.07,1,26501.8556,101989.1522,13556.3802,188640.5938,9673.9937,304.8815,25777.9047
TCGA.BW.A5NP.01A.11R.A27V.07,1,25391.4104,91588.0918,3310.3953,59646.1689,31.7228,1524.6462,5250.366
TCGA.BW.A5NQ.01A.11R.A27V.07,1,16032.3985,137951.1605,16390.7157,56991.7795,2.4178,431.3346,4857.3501
TCGA.CC.5258.01A.01R.A131.07,1,1390.2903,132412.6606,7992.8605,169439.3146,254.6406,1353.6411,26782.0086
TCGA.CC.5259.01A.31R.A213.07,1,32431.562,1513019.324,5289.8551,608665.0564,13880.8374,6098.2287,26043.4783
TCGA.CC.5260.01A.01R.A131.07,1,2368.8342,139.8311,3.555,338.9128,1.185,4.1475,102.5033
